CITY	CRIME	INCOME	POVERT	TEMPER	UNEMP	log_AREA	log_POP80	log_POP92	log_POPDEN	log_BORN_F
LOS_ANGE	9730	30925	18,9	74,3	9	6,1512422228	14,903576765	15,0653489684	8,9140883488	3,6480574596
CHICAGO	NA	26301	21,6	75,1	8,4	5,4258306868	14,9158120857	14,8338100747	9,4079609661	2,8273136219
HOUSTON	10824	26261	20,7	83,5	6,1	6,2913839372	14,2824708108	14,3403455901	8,0491077213	2,8791984573
PHILADEL	6835	24603	20,3	76,7	8	4,906015245	14,339179354	14,2554234685	9,3494064201	1,887069649
SAN_DIEG	8537	NA	13,4	71	6,2	5,7807435158	13,6825938335	13,9542728704	8,1735754866	3,039749159
DALLAS	15066	27489	18	85,9	6,9	5,8359796443	13,7152470306	13,8377582329	8,0016899781	2,5257286443
PHOENIX	9958	29291	14,2	93,5	5	6,0400165877	13,5794134707	13,8276663757	7,7877968782	2,1517622033
DETROIT	12263	18742	32,4	74,2	13,1	4,9323133273	14,0006348501	13,8275478186	8,8952185838	1,2237754316
SAN_ANTO	12291	23584	22,6	85	7,1	5,80814249	13,5746357326	13,7813713919	7,9731554334	2,2407096893
SAN_JOSE	5364	NA	9,3	69,5	6,4	5,1434164053	13,3525222636	13,5940293742	8,4506259471	3,277144733
INDIANAP	7357	29006	12,5	75,4	5,1	5,890815139	13,4599878071	13,5232017989	7,6324011266	0,6418538862
SAN_FRAN	9384	NA	12,7	59,1	5,6	3,8437441647	13,4283381142	13,4993206375	9,65560295	3,5263605246
BALTIMOR	11371	24045	21,9	77	9,4	4,3919769655	13,5756543754	13,4954375165	9,1034230896	1,1631508098
JACKSONV	10591	28305	13	81,6	6,7	6,6316064423	13,2010266726	13,4017768591	6,7696419769	1,2237754316
COLUMBUS	10145	26651	17,2	73,2	4,8	5,2517497307	13,2446181776	13,3738797853	8,1220743754	1,3083328197
MILWAUKE	9044	23627	22,2	73,6	5,7	4,565389316	13,3634207145	13,3326939925	8,7673291478	1,5475625087
MEMPHIS	10184	22674	23	82,6	5,9	5,5451774445	13,3788240963	13,3216649542	7,7765350282	0,3364722366
WASHINGT	10768	30727	16,9	80	7,7	4,1174098352	13,3667704492	13,2797448327	9,1623049229	2,2721258855
BOSTON	10837	29180	18,7	73,5	8,4	3,8794998137	13,2410242499	13,2207143838	9,3411931804	2,9957322736
EL_PASO	9630	23460	25,3	82,3	10,6	5,5028895323	12,9604536741	13,2063607167	7,7034590479	3,1527360224
SEATTLE	12248	29353	12,4	65,2	5,1	4,4296256135	13,1099790067	13,1608107147	8,7311749009	2,5726122302
CLEVELAN	8945	17822	28,7	71,9	8,5	4,3438054219	13,2600745227	13,1274285278	8,7835494772	1,4109869737
NASHVILL	8665	27821	13,4	79,3	4,7	6,1597294369	13,0294824446	13,1123372837	6,9527286446	0,9162907319
AUSTIN	11295	25414	17,9	84,5	5	5,3835772105	12,7538760844	13,1069024712	7,7231200923	2,1400661635
